영화이름,평점
캡틴 아메리카: 브레이브 뉴 월드,8.78
말할 수 없는 비밀,8.84
히트맨2,7.54
명탐정 코난: 14번째 표적,8.20
써니데이,5.64
서브스턴스,8.47
검은 수녀들,6.54
영화 이상한 과자 가게 전천당,8.93
엘리: 몬스터 패밀리,7.50
브루탈리스트,8.45
히어,8.12
패딩턴: 페루에 가다!,8.60
미드나잇 인 파리,8.78
더 폴: 디렉터스 컷,8.93
고백,7.09
뽀로로 극장판 바닷속 대모험,9.44
극장판 쿠로코의 농구 라스트 게임,9.44
브로큰,5.81
500일의 썸머,8.79
영화 러브 라이브! 니지가사키 학원 스쿨 아이...,9.00
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카...,8.58
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지...,8.50
하얼빈,8.11
러브레터,9.32
데드데드 데몬즈 디디디디 디스트럭션: 파트2,7.15
원더,9.39
소방관,8.14
카라바조. 영혼과 피,0
꼬마 판다 팡의 아프리카 대모험,8.06
극장판 짱구는 못말려: 우리들의 공룡일기,7.82
멀홀랜드 드라이브,8.88
마당을 나온 암탉,8.61
두 사람,9.00
9월 5일: 위험한 특종,8.09
멜랑콜리아,8.25
몽유도원,9.50
벌집의 정령,8.66
카라바조의 그림자,8.09
이처럼 사소한 것들,7.96
정돌이,9.90
리얼 페인,8.11
"레드벨벳 해피니스 다이어리 : 마이 디어, 레베...",9.05
노스페라투,7.37
모아나 2,8.00
고양이키스 : 당신에게 마음을 여는 순간,9.60
죽은 시인의 사회,9.38
위키드,8.68
아카디안,6.00
메모리,7.90
은빛살구,9.16
대가족,7.94
하이큐!! 재능과 센스,9.49
성 베드로 대성당과 로마의 교황청 대성당들,10.00
수퍼 소닉3,8.20
하이퍼 프로젝션 연극 하이큐!! 승자와 패자,0
호프만의 이야기,0
그들은 피아노 연주자를 쐈다,6.68
쇼잉 업,7.33
총을 든 스님,8.74
만담,10.00
문워크,8.78
애니멀 킹덤,8.18
고스트캣 앙주,7.82
아키라,8.92
공각기동대,8.88
타오르는 여인의 초상,9.13
데드데드 데몬즈 디디디디 디스트럭션: 파트1,7.30
렛 미 인,8.11
페르소나: 이상한 여자,8.80
은혼 일국경성편 온 씨어터,10.00
하이큐!! 콘셉트의 싸움,9.46
은혼 가시아귀편 온 씨어터,10.00
뜻밖의 순간 : 언익스펙티드 저니,6.79
해리 포터와 죽음의 성물 2,9.26
딜리버리,8.00
